code,name,met,quelle
12020,Jogging allgemein,7.5,Compendium 2024
12030,Laufen 8 km/h,8.5,Compendium 2024
12050,Laufen 10 km/h,9.3,Compendium 2024
12060,Laufen 10.8 km/h,10.5,Compendium 2024
12080,Laufen 12 km/h,11.8,Compendium 2024
12110,Laufen 14.5 km/h,13.0,Compendium 2024
12120,Laufen 16 km/h,14.8,Compendium 2024
02056,Bodyweight allgemein,3.0,Compendium 2024
02054,Krafttraining Geraete 8-15 Wh,3.5,Compendium 2024
02052,Krafttraining Kniebeugen Kreuzheben,5.0,Compendium 2024
02050,Krafttraining schwer,6.0,Compendium 2024
02032,Zirkeltraining Bodyweight,6.0,Compendium 2024
02057,Bodyweight intensiv,6.5,Compendium 2024
02040,Zirkeltraining Kettlebell,7.5,Compendium 2024
02058,Kettlebell Swings,9.8,Compendium 2024
01010,Radfahren unter 16 km/h,4.0,Compendium 2024
01019,Radfahren 15 km/h,5.8,Compendium 2024
01020,Radfahren 16-19 km/h,6.8,Compendium 2024
01014,Radfahren allgemein,7.0,Compendium 2024
01030,Radfahren 19-22 km/h,8.0,Compendium 2024
01040,Radfahren 22-25 km/h,10.0,Compendium 2024
01050,Radfahren 25-30 km/h,12.0,Compendium 2024
01200,Ergometer,6.8,Compendium 2024
01290,Indoor Cycling virtuell,8.8,Compendium 2024
01270,Spinning Class,9.0,Compendium 2024
